Organism type,Organism,Genome size (base pairs),Approx. no. of genes,Note
Virus,Porcine circovirus type 1,1759,1.8kb,,Smallest viruses replicating autonomously in eukaryotic cells.[43]
Virus,Bacteriophage MS2,3569,3.5kb,,First sequenced RNA-genome[44]
Virus,SV40,5224,5.2kb,,[45]
Virus,Phage Φ-X174,5386,5.4kb,,First sequenced DNA-genome[46]
Virus,HIV,9749,9.7kb,,[47]
Virus,Phage λ,48502,48.5kb,,Often used as a vector for the cloning of recombinant DNA.
[48]
[49]
[50]

Virus,Megavirus,1259197,1.3Mb,,Until 2013 the largest known viral genome.[51]
Virus,Pandoravirus salinus,2470000,2.47Mb,,Largest known viral genome.[52]
Bacterium,Nasuia deltocephalinicola (strain NAS-ALF),112091,112kb,,Smallest non-viral genome.[53]
Bacterium,Carsonella ruddii,159662,160kb,,
Bacterium,Buchnera aphidicola,600000,600kb,,[54]
Bacterium,Wigglesworthia glossinidia,700000,700Kb,,
Bacterium,Haemophilus influenzae,1830000,1.8Mb,,First genome of a living organism sequenced July 1995[55]
Bacterium,Escherichia coli,4600000,4.6Mb,4288,[56]
Bacterium,Solibacter usitatus (strain Ellin 6076),9970000,10Mb,,[57]
Bacterium – cyanobacterium,Prochlorococcus spp. (1.7 Mb),1700000,1.7Mb,1884,Smallest known cyanobacterium genome[58][59]
Bacterium – cyanobacterium,Nostoc punctiforme,9000000,9Mb,7432,7432 open reading frames[60]
Amoeboid,Polychaos dubium ("Amoeba" dubia),670000000000,670Gb,,Largest known genome.[61] (Disputed)[62]
Eukaryotic organelle,Human mitochondrion,16569,16.6kb,,[63]
Plant,Genlisea tuberosa,61000000,61Mb,,Smallest recorded flowering plant genome 2014.[64]
Plant,Arabidopsis thaliana,135000000[65],135 Mb,27655[66],First plant genome sequenced December 2000.[67]
Plant,Populus trichocarpa,480000000,480Mb,73013,First tree genome sequenced September 2006[68]
Plant,Fritillaria assyriaca,130000000000,130Gb,,
Plant,Paris japonica (Japanese-native pale-petal),150000000000,150Gb,,Largest plant genome known[69]
Plant – moss,Physcomitrella patens,480000000,480Mb,,First genome of a bryophyte sequenced January 2008.[70]
Fungus – yeast,Saccharomyces cerevisiae,12100000,12.1Mb,6294,First eukaryotic genome sequenced 1996[71]
Fungus,Aspergillus nidulans,30000000,30Mb,9541,[72]
Nematode,Pratylenchus coffeae,20000000,20Mb,,[73] Smallest animal genome known[74]
Nematode,Caenorhabditis elegans,100300000,100Mb,19000,First multicellular animal genome sequenced December 1998[75]
Insect,Drosophila melanogaster (fruit fly),175000000,175Mb,13600,Size variation based on strain (175-180Mb; standard y w strain is 175Mb)[76]
Insect,Apis mellifera (honey bee),236000000,236Mb,10157,[77]
Insect,Bombyx mori (silk moth),432000000,432Mb,14623,14623 predicted genes[78]
Insect,Solenopsis invicta (fire ant),480000000,480Mb,16569,[79]
Mammal,Mus musculus,2700000000,2.7Gb,20210,[80]
Mammal,Homo sapiens,3289000000,3.3Gb,20000,Homo sapiens estimated genome size 3.2 billion bp[81]
Initial sequencing and analysis of the human genome[82]

Mammal,Pan paniscus,3286640000,3.3Gb,20000,Bonobo -  estimated genome size 3.29 billion bp[83]
Bird,Gallus gallus,1043000000,1.0Gb,20000,[84]
Fish,Tetraodon nigroviridis (type of puffer fish),385000000,390Mb,,Smallest vertebrate genome known estimated to be 340 Mb[85][86] – 385 Mb.[87]
Fish,Protopterus aethiopicus (marbled lungfish),130000000000,130Gb,,Largest vertebrate genome known
